City,lat,lon,count
Henderson,32.182598,-95.7893178,51
Los Angeles,34.0536909,-118.242766,747
Fort Lauderdale,26.1223084,-80.1433786,15
Concord,43.207178,-71.537476,31
Seattle,47.6038321,-122.330062,428
Fort Worth,32.753177,-97.3327459,27
Madison,43.074761,-89.3837613,10
West Jordan,40.6061337,-111.9395211,5
San Francisco,37.7792588,-122.4193286,510
Fremont,37.5482697,-121.988571,8
Philadelphia,39.9527237,-75.1635262,537
Orem,40.2981599,-111.6944313,9
Houston,29.7589382,-95.3676974,377
Richardson,40.1194651,-95.7607517,2
Naperville,41.7728699,-88.1479278,8
Melbourne,-37.8142454,144.9631732,1
Eagan,44.818173,-93.1659179,8
Westland,42.3238056,-83.4005321,13
Dover,51.1251275,1.3134228,19
New Albany,38.2856247,-85.8241312,4
New York City,40.7127281,-74.0060152,915
Troy,39.957373950000004,26.238017461011644,29
Chicago,41.8755616,-87.6244212,314
Gilbert,33.3527632,-111.789037,15
Springfield,39.7990175,-89.6439575,163
Jackson,32.2998686,-90.1830408,82
Memphis,35.1460249,-90.0517638,30
Decatur,39.8454163,-88.9524151,35
Durham,54.666667,-1.75,9
Columbia,4.099917,-72.9088133,81
Rochester,43.157285,-77.615214,53
Minneapolis,44.9772995,-93.2654692,23
Portland,45.5202471,-122.674194,24
Saint Paul,44.9497487,-93.0931028,2
Aurora,41.7571701,-88.3147539,68
Charlotte,35.2272086,-80.8430827,52
Orland Park,41.630663,-87.8536288,1
Urbandale,41.6274511,-93.7380243,3
Columbus,39.9622601,-83.0007065,222
Bristol,51.4538022,-2.5972985,13
Wilmington,39.7459468,-75.546589,36
Bloomington,39.1670396,-86.5342881,15
Phoenix,33.4484367,-112.074141,63
Roseville,38.7521235,-121.2880059,26
Independence,39.0924792,-94.4137923,2
Pasadena,34.1476507,-118.144155,42
Newark,40.735657,-74.1723667,95
Franklin,33.2002659,-95.2231752,37
Scottsdale,33.4942189,-111.926018,12
San Jose,37.3361663,-121.890591,42
Edmond,35.6571367,-97.4649038,2
Carlsbad,33.1580933,-117.3505966,11
San Antonio,29.4246002,-98.4951405,59
Monroe,32.5025471,-92.116219,21
Fairfield,39.7886111,-82.6418883,45
Grand Prairie,32.7459645,-96.9977846,13
Redlands,34.0550328,-117.1827445,16
Hamilton,43.2560802,-79.8728583,4
Westfield,42.1205411,-72.7489158,6
Akron,41.083064,-81.518485,21
Denver,39.7392364,-104.984862,44
Dallas,32.7762719,-96.7968559,157
Whittier,33.9749136,-118.0338664,1
Saginaw,43.4200387,-83.9490365,6
Medina,29.2836281,-99.1126826,9
Dublin,53.3493795,-6.2605593,14
Detroit,42.3315509,-83.046640300000007,115
Tampa,27.9477595,-82.458444,36
Santa Clara,37.2333253,-121.6846349,6
Lakeville,44.650051,-93.2432791,15
San Diego,32.7174202,-117.162772,170
Brentwood,37.9317766,-121.696026,16
Chapel Hill,35.9131542,-79.05578,1
Morristown,40.7992398,-74.4774358537687,7
Cincinnati,39.1014537,-84.5124602,17
Inglewood,33.9562003,-118.353132,16
Tamarac,26.2048464,-80.27080479659301,4
Colorado Springs,38.8339578,-104.825348,25
Belleville,48.8176714,6.0982683,10
Taylor,32.2793121,-99.8812612,3
Lakewood,33.8503463,-118.117191,49
Arlington,32.7355816,-97.1071186,60
Arvada,39.8005505,-105.0811573,4
Hackensack,40.8871438,-74.0410865,6
Saint Petersburg,59.938732,30.316229,14
Long Beach,33.7690164,-118.191604,61
Hesperia,34.4263886,-117.3008784,4
Murfreesboro,35.8460396,-86.3921096,11
Layton,41.0751048,-111.9741925,1
Austin,30.2711286,-97.7436995,39
Lowell,42.6414437,-71.3085329,16
Manchester,53.4794892,-2.2451148,11
Harlingen,26.1907543,-97.6960599,5
Tucson,32.2228765,-110.974847,32
Quincy,42.2509914,-71.0037374,20
Pembroke Pines,26.0061943,-80.2872086,14
Des Moines,41.5868654,-93.6249494,19
Peoria,40.6938609,-89.5891008,23
Las Vegas,36.1672559,-115.148516,13
Warwick,52.2814519,-1.5815742,5
Miami,25.7741728,-80.19362,57
Huntington Beach,33.6783336,-118.000016,6
Richmond,37.5385087,-77.43428,90
Louisville,38.2542376,-85.759407,57
Lawrence,41.001415,-80.350071,44
Canton,32.5386046,-95.86181199728397,3
New Rochelle,40.9115386,-73.7826363,9
Gastonia,35.2622654,-81.1838186,4
Jacksonville,30.3321838,-81.655651,125
Auburn,32.6098566,-85.4807825,24
Norman,35.2225717,-97.4394816,2
Park Ridge,42.0112329,-87.8406031,3
Amarillo,35.20729,-101.8371192,10
Lindenhurst,40.6867667,-73.3734547,1
Huntsville,34.729847,-86.5859011,36
Fayetteville,36.0625843,-94.1574328,41
Costa Mesa,33.6633386,-117.903317,11
Parker,32.77725975,-97.80455986920202,8
Atlanta,33.7489924,-84.3902644,39
Gladstone,-23.8431724,151.256132,2
Great Falls,47.5048851,-111.29189,8
Lakeland,28.0394654,-81.9498042,22
Montgomery,32.3669656,-86.3006485,10
Mesa,33.4151005,-111.831455,28
Green Bay,44.5126379,-88.0125794,4
Anaheim,33.8347516,-117.911732,27
Marysville,48.0517429,-122.1768209,2
Salem,44.9391565,-123.033121,40
Laredo,27.5056251,-99.5074517,13
Grove City,45.1505185,-94.6830533,2
Dearborn,42.3222599,-83.1763145,5
Warner Robins,32.6200973,-83.606568,2
Vallejo,38.1040864,-122.2566367,6
Mission Viejo,33.5965685,-117.659405,5
Rochester Hills,42.6583661,-83.1499322,1
Plainfield,41.6086711,-88.2054345,13
Sierra Vista,31.5545973,-110.2997756,3
Vancouver,49.2608724,-123.113952,5
Cleveland,41.4996574,-81.6936772,42
Tyler,30.7563939,-94.3984613,5
Burlington,44.4761601,-73.212906,25
Waynesboro,38.0686668,-78.8893999,10
Chester,53.1908873,-2.8908955,16
Cary,35.7882893,-78.7812081,6
Palm Coast,29.5541432,-81.2207673,5
Mount Vernon,38.3172715,-88.9031201,8
Hialeah,25.8575963,-80.2781057,18
Oceanside,33.1958696,-117.3794834,30
Evanston,42.0470043,-87.6846053,4
Trenton,40.2203074,-74.7659,13
Cottage Grove,44.8277446,-92.9438218,2
Bossier City,32.515887,-93.7336536,6
Lancaster,40.08067,-76.2411283,46
Asheville,35.595363,-82.5508407,7
Lake Elsinore,33.6680772,-117.3272615,1
Omaha,41.2587459,-95.9383758,28
Edmonds,47.8105738,-122.3774952,14
Santa Ana,33.7494951,-117.873221,14
Milwaukee,43.0386475,-87.9090751,45
Florence,43.7697955,11.2556404,21
Lorain,41.4673238,-82.1781904,9
Linden,50.6019526,7.8504832,1
Salinas,36.6744117,-121.655037,8
New Brunswick,46.500283,-66.750183,2
Garland,32.912624,-96.6388833,4
Norwich,52.6285576,1.2923954,4
Alexandria,44.83495335,8.745030418605868,16
Toledo,39.8560679,-4.0239568,32
Farmington,44.6402434,-93.1435497,3
Riverside,33.7219991,-116.0372472,14
Torrance,33.8371392,-118.3413606,4
